	Likert Scale 1 for Most Unlikely to 5 for Most Likely																													
1	Age	Gender	qualification	Yearsofexperience	ROL1	ROL2	ROL3	BO1	BO2	BO3	BO4	BO1	BO6	BO7	BO8	BO9	SE1	SE2	SE3	SE4	PP1	PP2	PP3	PP4	PP5	PP6	PP7	PP8	PP9	PP10
64	2	1	3	3	5	4	4	3	3	2	1	2	2	5	2	3	3	3	4	2	4	4	4	4	3	4	4	3	4	4
65	1	1	3	3	4	2	3	1	1	2	3	1	1	4	2	2	5	4	4	3	3	3	3	3	3	3	3	3	3	3
66	1	2	3	2	5	5	5	4	5	1	4	5	2	5	4	3	5	5	5	2	4	4	4	4	4	4	4	4	4	4
67	2	1	3	2	4	2	4	4	4	2	1	2	1	5	2	1	5	4	4	3	3	3	3	3	3	3	3	3	3	3
68	2	2	3	2	5	5	5	2	3	2	3	3	2	3	3	2	4	3	4	4	3	3	3	3	4	3	3	3	3	3
69	200	2	3	2	5	5	5	5	5	5	5	5	5	5	5	5	4	2	2	4	5	5	5	5	5	5	5	4	4	4
70	2	2	3	2	4	5	4	3	4	4	2	3	3	4	3	2	4	4	4	4	4	3	3	3	3	4	3	4	4	3
71	3	1	3	4	4	3	3	2	3	2	2	2	2	4	4	2	3	4	4	2	3	3	3	3	3	3	3	3	3	3
72	2	2	3	4	3	4	4	4	4	2	2	2	2	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4
73	2	1	3	4	4	2	5	2	4	4	2	2	1	1	2	2	4	4	4	2	4	4	4	4	4	4	4	4	4	4
74	1	2	2	2	4	2	4	5	4	4	3	4	1	4	2	2	5	4	4	5	4	3	4	4	4	4	4	3	4	5
75	2	2	2	4	4	4	5	2	3	5	3	2	2	5	2	2	3	2	4	3	3	4	4	4	4	4	4	4	4	4
76	4	1	3	4	2	2	2	2	2	2	2	1	1	3	3	3	4	3	3	3	3	3	4	3	3	3	4	4	4	3
77	2	2	2	3	4	4	4	5	4	5	5	5	4	5	4	5	5	5	5	5	4	4	4	5	5	5	5	5	5	5
78	1	2	3	2	4	2	4	2	3	2	2	1	1	3	2	2	4	3	4	4	4	4	3	2	4	4	4	4	4	4
79	1	2	3	2	3	3	4	3	4	4	4	4	3	4	4	3	4	4	4	3	3	3	4	4	4	4	4	3	4	4
80	1	2	2	2	3	4	4	2	3	4	4	2	2	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4
81	1	2	2	2	3	4	4	5	4	4	5	4	2	5	5	4	4	4	4	5	3	4	4	4	3	3	4	4	4	4
82	3	2	3	4	5	5	5	5	5	5	5	5	2	5	5	2	5	5	|	5	3	3	3	3	3	3	5	4	3	3
